ID,NAME,GENDER,KOREAN_GRADE,ENGLISH_GRADE,MATH_GRADE
109605,Vaughn,F,74,14,73
109606,Verona,F,67,29,60
109607,Yanet,F,61,58,79
109608,Ysabel,F,13,38,48
109609,Zahira,F,4,82,24
109610,Zailynn,F,94,88,50
109611,Zaleah,F,96,75,45
109612,Zeniyah,F,89,0,21
109613,Zunairah,F,56,77,73
109614,Aadyn,M,83,27,38
109615,Aaric,M,69,70,75
109616,Advit,M,87,82,73
109617,Amaar,M,10,47,73
109618,Amadeo,M,40,0,52
109619,Anav,M,32,2,94
109620,Andrez,M,64,77,4
109621,Anjel,M,47,43,64
109622,Arish,M,49,72,77
109623,Arlin,M,3,73,9
109624,Armen,M,35,75,74
109625,Ashraf,M,59,82,41
109626,Aydon,M,42,18,43
109627,Azeem,M,19,40,92
109628,Bassam,M,60,62,31
109629,Bohdan,M,0,65,8
109630,Brax,M,30,74,0
109631,Braysen,M,37,61,36
109632,Brier,M,1,50,6
109633,Britain,M,5,96,57
109634,Caliber,M,48,18,52
109635,Calin,M,47,76,79
109636,Caspar,M,62,85,60
109637,Castor,M,41,54,28
109638,Chapman,M,14,25,4
109639,Cj,M,7,24,36
109640,Dael,M,87,7,92
109641,Damar,M,38,68,10
109642,Daniil,M,85,92,47
109643,Darryn,M,98,12,0
109644,Delton,M,79,91,80
109645,Derrell,M,62,44,38
109646,Didier,M,74,55,94
109647,Dorien,M,62,38,26
109648,Drayce,M,45,14,98
109649,Drayson,M,73,1,24
109650,Elia,M,92,92,65
109651,Emersyn,M,27,59,0
109652,Eythan,M,77,32,84
109653,Eziah,M,36,99,24
109654,Ezriel,M,18,77,89
109655,Fintan,M,91,40,80
109656,Flavio,M,14,97,13
109657,Gavino,M,66,89,32
109658,Graylen,M,99,70,33
109659,Greysin,M,41,51,99
109660,Griffyn,M,9,56,19
109661,Haakon,M,16,18,84
109662,Habib,M,27,70,45
109663,Harlin,M,44,13,20
109664,Hendricks,M,4,7,97
109665,Henrique,M,62,66,16
109666,Hercules,M,91,9,76
109667,Herschel,M,93,0,32
109668,Heru,M,87,83,56
109669,Hutch,M,78,31,53
109670,Hutson,M,0,44,19
109671,Idan,M,15,28,41
109672,Jacori,M,63,49,4
109673,Jaidon,M,25,60,21
109674,Jailen,M,83,81,1
109675,Jak,M,80,98,23
109676,Jarek,M,56,25,42
109677,Jayren,M,77,27,60
109678,Jayvin,M,43,5,89
109679,Jeanluc,M,57,40,87
109680,Jeriel,M,3,16,27
109681,Jian,M,71,98,26
109682,Jiovani,M,51,62,13
109683,Joachim,M,33,88,49
109684,Johndavid,M,70,90,16
109685,Joseangel,M,13,50,46
109686,Jowell,M,10,0,2
109687,Julen,M,70,4,20
109688,Kahari,M,78,33,24
109689,Kaston,M,20,29,79
109690,Kayvion,M,35,52,26
109691,Keeton,M,13,22,65
109692,Keiran,M,67,8,48
109693,Kemarion,M,67,68,83
109694,Kemoni,M,69,25,73
109695,Keylan,M,24,77,45
109696,Khi,M,25,31,92
109697,Kiptyn,M,75,45,53
109698,Kizer,M,81,73,90
109699,Lamarr,M,85,52,11
109700,Leovanni,M,61,35,21
109701,Linkon,M,87,90,30
109702,Linkyn,M,40,50,61
109703,Lynx,M,84,81,69
109704,Lysander,M,90,23,37
109705,Malique,M,54,29,62
109706,Marlee,M,25,23,15
109707,Marshaun,M,13,91,73
109708,Martel,M,47,58,97
109709,Matthieu,M,51,51,61
109710,Mivaan,M,45,60,47
109711,Moishe,M,18,35,34
109712,Naftuli,M,39,54,30
109713,Norris,M,12,31,68
109714,Oaklan,M,87,13,19
109715,Oberon,M,90,71,47
109716,Oluwatobi,M,46,24,84
109717,Rafi,M,36,1,50
109718,Rahman,M,31,40,49
109719,Rickie,M,63,59,49
109720,Ridwan,M,76,28,17
109721,Rivaan,M,89,20,74
109722,Rommel,M,2,67,90
109723,Rony,M,93,15,76
109724,Rorik,M,2,76,89
109725,Sabian,M,93,75,74
109726,Samael,M,22,68,25
109727,Sarim,M,76,5,86
109728,Saxton,M,88,48,37
109729,Seneca,M,71,51,53
109730,Shivaan,M,5,73,63
109731,Shloimy,M,34,37,93
109732,Shon,M,4,97,37
109733,Shriyan,M,87,76,18
109734,Sriram,M,76,3,9
109735,Sulayman,M,10,92,23
109736,Syler,M,48,99,82
109737,Tage,M,99,43,20
109738,Talib,M,41,89,53
109739,Tayton,M,28,44,31
109740,Teigan,M,33,4,30
109741,Thaddaeus,M,40,19,71
109742,Theseus,M,80,45,90
109743,Torrey,M,36,96,90
109744,Travion,M,47,32,13
109745,Tyberius,M,16,41,27
109746,Valerian,M,24,78,66
109747,Vedh,M,81,93,25
109748,Weylyn,M,69,52,56
109749,Yahshua,M,39,70,25
109750,Yareth,M,19,61,71
109751,Yeshaya,M,9,89,45
109752,Yi,M,27,34,91
109753,Zakir,M,88,71,37
109754,Zarek,M,6,35,3
109755,Zaxton,M,80,24,19
109756,Zayaan,M,8,18,29
109757,Zayde,M,0,3,82
109758,Zhaire,M,27,24,96
109759,Aairah,F,65,49,10
109760,Adi,F,71,19,6
109761,Adler,F,36,4,54
109762,Adna,F,77,10,42
109763,Ahava,F,76,14,67
109764,Ailish,F,1,83,93
109765,Aima,F,39,99,24
109766,Airi,F,47,42,68
109767,Akayla,F,96,39,0
109768,Alanys,F,5,28,27
109769,Aleana,F,24,42,20
109770,Alyzah,F,25,63,53
109771,Amilyah,F,82,96,8
109772,Anam,F,72,56,32
109773,Andraya,F,52,70,9
109774,Andria,F,89,33,37
109775,Anneli,F,76,26,68
109776,Anyeli,F,14,1,58
109777,Anzal,F,69,82,59
109778,Aolanis,F,71,11,74
109779,Aqsa,F,14,55,90
109780,Arelis,F,70,85,24
109781,Assata,F,31,97,99
109782,Augustina,F,8,43,22
109783,Aurelie,F,7,5,99
109784,Avana,F,61,71,78
109785,Ayelen,F,40,33,21
109786,Aylinn,F,18,16,33
109787,Azure,F,38,65,95
109788,Blue,F,81,4,33
109789,Bradleigh,F,0,69,84
109790,Brantley,F,28,36,27
109791,Breana,F,60,67,80
109792,Brexlee,F,79,4,49
109793,Britany,F,76,19,8
109794,Camilah,F,72,49,79
109795,Camilia,F,60,32,46
109796,Candelaria,F,2,91,86
109797,Chantal,F,73,18,44
109798,Charliee,F,52,66,32
109799,Chelsie,F,20,31,72
109800,Clio,F,74,59,75
109801,Corah,F,57,13,40
109802,Corbin,F,91,59,78
109803,Corey,F,44,71,60
109804,Corra,F,26,45,99
109805,Cristel,F,47,80,73
109806,Dannie,F,69,43,68
109807,Dezirae,F,72,18,27
109808,Diem,F,52,60,72
109809,Eda,F,42,45,54
109810,Elleana,F,79,53,2
109811,Ellorie,F,77,49,5
109812,Emaleigh,F,37,80,11
109813,Emilly,F,63,78,3
109814,Emira,F,76,9,71
109815,Emri,F,49,93,2
109816,Eniola,F,37,90,31
109817,Faelynn,F,84,81,40
109818,Faithlyn,F,69,93,3
109819,Favour,F,97,67,35
109820,Finn,F,67,93,27
109821,Freja,F,44,26,98
109822,Gertrude,F,88,80,50
109823,Gracy,F,19,95,57
109824,Gweneth,F,39,97,98
109825,Haizel,F,43,69,41
109826,Hallee,F,23,55,93
109827,Ifeoluwa,F,54,85,78
109828,Ione,F,98,85,44
109829,Ivelisse,F,46,77,35
109830,Jacy,F,86,89,14
109831,Jaileen,F,18,49,85
109832,Janel,F,15,57,88
109833,Jayah,F,94,62,92
109834,Jaylinn,F,64,94,89
109835,Jeannette,F,55,77,68
109836,Jenessa,F,76,22,91
109837,Jezebel,F,58,94,70
109838,Jill,F,62,93,46
109839,Joscelyn,F,8,84,28
109840,Justus,F,72,90,19
109841,Kady,F,51,19,38
109842,Kaeli,F,62,49,78
109843,Kalee,F,38,58,25
109844,Kambry,F,80,44,84
109845,Karizma,F,5,40,84
109846,Kashmere,F,14,90,52
109847,Kathrine,F,27,90,52
109848,Kaylina,F,95,27,67
109849,Keaton,F,96,47,92
109850,Kenadie,F,99,33,82
109851,Kera,F,86,95,53
109852,Kerrington,F,78,91,78
109853,Keyra,F,72,54,9
109854,Kirah,F,19,15,95
109855,Kiyara,F,62,42,91
109856,Koryn,F,36,34,14
109857,Kyleena,F,99,16,53
109858,Kynley,F,56,49,96
109859,Laniah,F,11,21,29
109860,Liam,F,72,83,62
109861,Locklyn,F,66,40,99
109862,Loralie,F,64,96,93
109863,Maebel,F,98,50,4
109864,Maeli,F,41,50,84
109865,Maison,F,33,46,2
109866,Marelyn,F,46,46,10
109867,Maribella,F,60,19,58
109868,Marybeth,F,88,90,0
109869,Mavery,F,97,36,42
109870,Mayci,F,75,7,3
109871,Meenakshi,F,54,13,41
109872,Mehreen,F,99,98,29
109873,Meleah,F,10,12,23
109874,Meryl,F,68,10,17
109875,Mikenzie,F,19,84,70
109876,Milany,F,50,60,20
109877,Mirah,F,27,99,40
109878,Mykayla,F,43,3,52
109879,Nakayla,F,63,77,17
109880,Naleah,F,64,35,54
109881,Nari,F,78,28,54
109882,Nisa,F,35,46,7
109883,Nitara,F,18,1,8
109884,Nona,F,23,72,50
109885,Nyx,F,69,7,81
109886,Odalis,F,73,17,5
109887,Paislei,F,26,49,35
109888,Paizleigh,F,25,0,45
109889,Parris,F,91,98,65
109890,Peggy,F,30,30,66
109891,Prestyn,F,12,62,22
109892,Rayann,F,88,7,20
109893,Reighlynn,F,51,77,48
109894,Ridhi,F,96,87,52
109895,Rylea,F,18,43,31
109896,Salena,F,93,13,30
109897,Saron,F,38,8,15
109898,Sereen,F,91,8,87
109899,Shantal,F,17,78,59
109900,Skarlet,F,21,33,90
109901,Sofi,F,45,45,76
109902,Sonali,F,99,81,24
109903,Sura,F,85,18,61
109904,Tayah,F,39,47,40
109905,Taylie,F,35,45,66
109906,Tiwatope,F,79,26,59
109907,Tonya,F,83,13,15
109908,Trenity,F,94,70,92
109909,Tylah,F,37,73,70
109910,Tyonna,F,15,55,46
109911,Vincenza,F,9,37,85
109912,Xylah,F,52,94,90
109913,Yeimi,F,22,74,13
109914,Yemariam,F,18,33,23
109915,Yemaya,F,6,59,33
109916,Zayley,F,76,21,13
109917,Zeinab,F,86,14,36
109918,Zionna,F,14,50,94
109919,Zohra,F,73,84,58
109920,Zorah,F,64,67,39
109921,Zulay,F,35,35,68
109922,Zuria,F,94,23,96
109923,Zurie,F,70,49,35
109924,Aaren,M,81,14,31
109925,Aaryav,M,26,51,63
109926,Abdulmalik,M,67,78,24
109927,Abrahm,M,90,59,51
109928,Alasdair,M,73,41,35
109929,Alastor,M,51,46,18
109930,Alucard,M,3,69,1
109931,Andi,M,97,87,42
109932,Arlow,M,29,49,59
109933,Arnoldo,M,12,1,22
109934,Arnulfo,M,57,75,48
109935,Arye,M,43,87,3
109936,Ascher,M,31,51,0
109937,Athen,M,12,59,97
109938,Augusto,M,62,37,67
109939,Ausar,M,71,37,88
109940,Avir,M,31,79,46
109941,Avner,M,41,61,99
109942,Axten,M,58,41,58
109943,Ayaz,M,34,15,86
109944,Azlaan,M,38,96,38
109945,Bastien,M,10,77,85
109946,Bastion,M,8,79,21
109947,Bexton,M,59,97,76
109948,Braddock,M,89,4,47
109949,Breckin,M,91,74,3
109950,Brodi,M,79,7,84
109951,Brylon,M,17,57,69
109952,Buddy,M,76,48,96
109953,Camarion,M,56,76,81
109954,Cashmere,M,18,54,40
109955,Cleveland,M,13,26,30
109956,Creek,M,56,82,16
109957,Curren,M,59,24,92
109958,Dalvin,M,93,49,31
109959,Dani,M,93,39,36
109960,Danthony,M,26,55,44
109961,Davey,M,87,27,65
109962,Dekker,M,35,19,16
109963,Deklen,M,76,66,82
109964,Delmar,M,47,77,8
109965,Derrion,M,37,65,1
109966,Devion,M,0,18,18
109967,Dierks,M,93,25,12
109968,Domani,M,43,25,76
109969,Domonick,M,47,90,23
109970,Eddison,M,55,85,41
109971,Elgin,M,50,51,32
109972,Ember,M,56,72,31
109973,Ernie,M,50,95,63
109974,Faustino,M,81,70,82
109975,Garen,M,54,47,37
109976,Hamid,M,7,25,4
109977,Hirving,M,58,87,9
109978,Homero,M,52,47,75
109979,Hyde,M,76,80,20
109980,Ikaika,M,77,20,45
109981,Imani,M,82,71,87
109982,Irfan,M,14,76,90
109983,Jaasiel,M,77,23,73
109984,Jacolby,M,65,52,46
109985,Jakaiden,M,67,47,21
109986,Jassiah,M,24,48,27
109987,Jaysean,M,83,53,99
109988,Jerson,M,11,75,14
109989,Jhon,M,0,37,58
109990,Jiyan,M,94,38,53
109991,Joelle,M,8,44,50
109992,Joriel,M,85,34,49
109993,Juandiego,M,60,90,8
109994,Jusiah,M,79,96,80
109995,Kashius,M,78,49,60
109996,Khang,M,9,50,72
109997,Kristoff,M,48,75,91
109998,Kyion,M,46,71,63
109999,Lamir,M,46,62,38
110000,Legion,M,66,78,9
110001,Leone,M,43,5,81
110002,Liangelo,M,75,94,78
110003,Lliam,M,61,31,44
110004,Maksym,M,43,69,1
110005,Marquell,M,76,65,3
110006,Martell,M,16,31,37
110007,Mattox,M,93,13,57
110008,Matvey,M,30,5,28
110009,Miklo,M,28,70,38
110010,Miliano,M,78,93,33
110011,Mourad,M,68,98,28
110012,Mousa,M,45,6,45
110013,Nana,M,49,57,21
110014,Nevan,M,11,61,83
110015,Nihit,M,26,91,37
110016,Octavious,M,12,64,91
110017,Ousmane,M,75,18,71
110018,Owyn,M,14,95,54
110019,Quintus,M,20,32,38
110020,Ramesses,M,41,98,41
110021,Raylin,M,75,22,71
110022,Remmington,M,42,9,30
110023,Remus,M,44,6,84
110024,Robby,M,86,80,79
110025,Romell,M,55,92,11
110026,Sajid,M,71,43,12
110027,Shaul,M,20,85,36
110028,Silvestre,M,73,64,19
110029,Stefon,M,60,94,86
110030,Suhayb,M,16,91,91
110031,Suraj,M,56,28,67
110032,Torben,M,61,56,67
110033,Trayson,M,73,19,98
110034,Vian,M,79,16,85
110035,Yuvin,M,1,44,23
110036,Zakhi,M,55,39,28
110037,Zayveon,M,87,88,36
110038,Zeb,M,0,58,10
110039,Aariya,F,34,41,46
110040,Abbigale,F,12,76,76
110041,Adriella,F,45,40,13
110042,Aerilyn,F,14,37,31
110043,Afnan,F,44,15,54
110044,Ainslie,F,26,84,76
110045,Aishani,F,55,90,33
110046,Aleiya,F,20,93,3
110047,Aleiyah,F,0,80,1
110048,Amariya,F,55,93,95
110049,Amarra,F,94,84,81
110050,Amreen,F,89,38,86
110051,Amylia,F,60,6,22
110052,Anaaya,F,38,12,89
110053,Anevay,F,67,95,71
110054,Annah,F,78,90,28
110055,Arwyn,F,5,72,9
110056,Arynn,F,46,49,53
110057,Asmaa,F,0,80,72
110058,Auna,F,77,67,27
110059,Aveyah,F,50,96,58
110060,Avonna,F,15,80,70
110061,Baani,F,84,3,65
110062,Calee,F,44,86,9
110063,Carma,F,35,99,77
110064,Charlise,F,75,39,79
110065,Cirilla,F,82,35,24
110066,Dally,F,2,70,15
110067,Daysi,F,52,25,61
110068,Dhiya,F,25,94,72
110069,Dianne,F,17,40,46
110070,Eily,F,86,80,16
110071,Elayah,F,38,1,94
110072,Elizaveta,F,34,70,62
110073,Emunah,F,73,57,18
110074,Enna,F,83,92,48
110075,Esma,F,31,27,43
110076,Ezmeralda,F,51,22,51
110077,Farryn,F,37,61,24
110078,Fraya,F,66,22,41
110079,Freedom,F,43,91,39
110080,Freida,F,81,93,85
110081,Gioia,F,66,44,65
110082,Graycee,F,73,36,55
110083,Hailyn,F,13,85,24
110084,Hanvika,F,90,4,42
110085,Hazelyn,F,20,71,12
110086,Hazleigh,F,67,80,52
110087,Helene,F,38,14,13
110088,Heran,F,11,53,67
110089,Ikhlas,F,19,4,91
110090,Ilsa,F,70,87,72
110091,Ilyssa,F,82,97,78
110092,Isidora,F,11,27,28
110093,Ivorie,F,81,10,82
110094,Jala,F,55,78,99
110095,Jalaysia,F,17,47,89
110096,Janella,F,67,67,2
110097,Janvi,F,5,90,49
110098,Janyiah,F,39,77,88
110099,Jersie,F,20,35,65
110100,Jhavia,F,63,91,58
110101,Jolette,F,22,41,13
110102,Jolina,F,71,69,13
110103,Jonae,F,17,3,2
110104,Jovana,F,4,99,91
110105,Kaleesi,F,82,0,15
110106,Kalianna,F,53,88,74
110107,Kamree,F,58,93,56
110108,Kansas,F,58,23,11
110109,Karmella,F,95,19,10
110110,Katerin,F,5,76,80
110111,Kayci,F,74,78,57
110112,Kayzlee,F,0,2,84
110113,Keyonna,F,58,62,72
110114,Khalessi,F,75,79,12
110115,Kieran,F,37,95,63
110116,Kilynn,F,3,15,65
110117,Koralyn,F,66,87,5
110118,Kyrielle,F,67,53,45
110119,Lakin,F,47,26,44
110120,Lanaya,F,7,56,99
110121,Laylanie,F,38,65,99
110122,Leira,F,63,10,24
110123,Lelah,F,63,98,84
110124,Lilo,F,56,76,23
110125,Lilyth,F,98,43,53
110126,Lindley,F,96,40,39
110127,Lucciana,F,92,86,45
110128,Lynnea,F,88,2,90
110129,Maddalena,F,85,71,52
110130,Madigan,F,53,18,16
110131,Maely,F,44,68,67
110132,Maevyn,F,85,92,9
110133,Mahari,F,29,18,29
110134,Mahealani,F,33,38,76
110135,Mahina,F,53,75,45
110136,Makinlee,F,82,47,59
110137,Mana,F,88,88,4
110138,Manasvi,F,31,61,52
110139,Marsha,F,16,74,74
110140,Maryanna,F,66,85,31
110141,Masha,F,77,32,32
110142,Maylie,F,59,38,16
110143,Mckinnley,F,69,5,39
110144,Mckinsey,F,13,31,66
110145,Meylin,F,64,10,79
110146,Miliani,F,92,56,7
110147,Naevia,F,57,49,24
110148,Nakiyah,F,46,92,35
110149,Namya,F,8,65,11
110150,Natania,F,45,22,44
110151,Neena,F,37,86,46
110152,Neyla,F,57,1,93
110153,Nirvi,F,94,61,72
110154,Oluwatamilore,F,97,37,44
110155,Orli,F,51,14,67
110156,Paitynn,F,96,10,35
110157,Perl,F,4,98,36
110158,Prairie,F,97,8,80
110159,Quincey,F,66,41,5
110160,Quinlee,F,32,88,90
110161,Raneem,F,10,15,1
110162,Rayleen,F,12,13,10
110163,Reba,F,60,32,89
110164,Reegan,F,53,67,5
110165,Reena,F,19,11,52
110166,Renleigh,F,86,45,75
110167,Rhilynn,F,66,88,83
110168,Rumaysa,F,37,27,47
110169,Ryli,F,12,83,13
110170,Saanvika,F,68,83,61
110171,Sable,F,5,26,61
110172,Sabrin,F,39,41,7
110173,Sahily,F,70,48,3
110174,Salima,F,57,56,81
110175,Samora,F,7,77,24
110176,Sarena,F,16,5,97
110177,Sedra,F,41,77,97
110178,Shahad,F,71,90,11
110179,Shamira,F,84,88,77
110180,Shanell,F,49,1,90
110181,Shaniah,F,67,67,38
110182,Shaylin,F,25,80,18
110183,Solomia,F,51,84,90
110184,Storie,F,27,14,49
110185,Suhani,F,38,54,62
110186,Taelor,F,14,84,96
110187,Taina,F,63,82,17
110188,Tayleigh,F,76,46,74
110189,Vedika,F,55,89,68
110190,Verena,F,92,66,5
110191,Wrenn,F,57,6,24
110192,Ximenna,F,36,23,46
110193,Yulia,F,49,11,22
110194,Yzabella,F,3,81,1
110195,Zahria,F,98,24,36
110196,Zakari,F,71,38,4
110197,Zana,F,68,56,91
110198,Ziona,F,24,11,81
110199,Zoi,F,20,0,68
110200,Zoriah,F,54,62,93
110201,Zyonna,F,1,33,35
110202,Zyriah,F,78,26,86
110203,Aakash,M,77,75,70
110204,Abdimalik,M,40,30,4
110205,Adael,M,18,90,54
110206,Adair,M,69,69,89
110207,Adian,M,77,1,21
110208,Adrik,M,2,45,21
110209,Advay,M,77,18,4
110210,Alexey,M,23,94,89
110211,Alexi,M,65,22,28
110212,Almir,M,40,78,25
110213,Amer,M,83,77,17
110214,Amr,M,41,90,86
110215,Aneesh,M,65,5,30
110216,Arjunreddy,M,33,34,63
110217,Artis,M,93,27,75
110218,Avyukth,M,9,1,7
110219,Ayomide,M,95,45,4
110220,Brando,M,65,89,9
110221,Braylyn,M,14,33,93
110222,Bright,M,47,78,87
110223,Broc,M,25,41,45
110224,Bryceson,M,63,12,13
110225,Burton,M,77,19,68
110226,Canton,M,15,77,42
110227,Carey,M,53,29,61
110228,Cary,M,24,86,80
110229,Cashel,M,34,31,80
110230,Cashius,M,61,4,9
110231,Chesky,M,5,74,80
110232,Christen,M,0,88,68
110233,Cyrie,M,28,95,23
110234,Damier,M,95,32,46
110235,Darron,M,60,58,90
110236,Dasan,M,27,62,94
110237,Daymon,M,27,80,41
110238,Dejon,M,49,48,87
110239,Dhruvan,M,98,60,70
110240,Dylann,M,18,82,1
110241,Eeshan,M,27,97,85
110242,Elnathan,M,36,88,1
110243,Farid,M,67,3,18
110244,Findley,M,47,31,64
110245,Florian,M,5,53,22
110246,Gennady,M,13,55,7
110247,Godwin,M,0,49,4
110248,Griffith,M,82,4,67
110249,Hari,M,34,47,83
110250,Haroun,M,51,61,98
110251,Huntlee,M,0,33,1
110252,Huxlee,M,35,70,15
110253,Iziah,M,99,27,59
110254,Jabez,M,17,85,45
110255,Jalon,M,0,39,73
110256,Jalyn,M,44,62,48
110257,Jatniel,M,60,62,97
110258,Jaxsin,M,24,91,78
110259,Jaymar,M,78,84,52
110260,Jayquan,M,91,81,83
110261,Jeffry,M,60,24,17
110262,Jerick,M,36,5,22
110263,Jerron,M,66,19,17
110264,Jianni,M,80,27,22
110265,Joud,M,54,4,54
110266,June,M,26,16,14
110267,Kaelum,M,95,92,92
110268,Kailan,M,63,48,58
110269,Kamdon,M,50,21,76
110270,Kanoa,M,53,43,34
110271,Karder,M,0,68,53
110272,Karver,M,60,94,88
110273,Kean,M,94,22,92
110274,Khairi,M,54,23,69
110275,Khoi,M,35,50,34
110276,Kowen,M,11,52,13
110277,Krishav,M,21,83,89
110278,Krithik,M,63,30,53
110279,Kymari,M,73,37,3
110280,Larenzo,M,24,43,0
110281,Leith,M,52,66,24
110282,Leonid,M,42,3,99
110283,Levii,M,65,66,84
110284,Lio,M,46,44,59
110285,Lleyton,M,82,73,64
110286,Lyfe,M,96,83,28
110287,Madix,M,22,15,53
110288,Manasseh,M,60,89,55
110289,Mase,M,48,92,3
110290,Maveryk,M,27,66,56
110291,Merle,M,83,96,8
110292,Michaelangelo,M,35,17,32
110293,Mikaeel,M,59,96,33
110294,Natnael,M,94,75,10
110295,Navi,M,83,58,20
110296,Navid,M,5,48,54
110297,Nero,M,35,75,39
110298,Nicoli,M,5,89,15
110299,Norberto,M,12,91,46
110300,Olson,M,63,54,26
110301,Oluwatobiloba,M,28,50,44
110302,Omri,M,76,66,62
110303,Oslo,M,15,18,73
110304,Otniel,M,23,32,33
110305,Rahil,M,20,6,7
110306,Rakim,M,36,32,84
110307,Raydon,M,30,82,68
110308,Ripley,M,31,79,74
110309,Rishan,M,44,34,27
110310,Rooney,M,79,40,10
110311,Saatvik,M,94,69,13
110312,Sadiq,M,70,72,7
110313,Sakari,M,63,82,37
110314,Savon,M,70,12,42
110315,Servando,M,6,37,51
110316,Sid,M,47,66,77
110317,Taym,M,87,77,86
110318,Toren,M,16,60,31
110319,Tracen,M,87,32,1
110320,Trinidad,M,48,74,97
110321,Tylon,M,57,90,33
110322,Tyrin,M,21,41,38
110323,Vansh,M,38,96,74
110324,Viyaan,M,23,15,46
110325,Walid,M,32,26,50
110326,Wynter,M,88,61,85
110327,Yeriel,M,5,30,80
110328,Yishai,M,73,69,39
110329,Zadok,M,60,67,77
110330,Zakhari,M,7,6,60
110331,Zarion,M,59,18,95
110332,Zebulon,M,68,90,12
110333,Ziare,M,82,18,40
110334,Zyhir,M,88,46,67
110335,Acsa,F,68,6,11
110336,Addaline,F,90,10,82
110337,Addley,F,60,14,41
110338,Aizlynn,F,25,65,84
110339,Akiyah,F,0,8,40
110340,Aleaha,F,25,9,95
110341,Aleenah,F,90,68,17
110342,Aleesia,F,81,41,17
110343,Alitza,F,84,66,16
110344,Allyssa,F,16,75,54
110345,Ambria,F,75,63,15
110346,Amery,F,73,41,57
110347,Anagha,F,34,97,48
110348,Anala,F,99,69,33
110349,Anamarie,F,84,85,9
110350,Aniela,F,51,0,3
110351,Anishka,F,44,6,72
110352,Anouk,F,95,38,72
110353,Anshika,F,0,96,96
110354,Arayna,F,8,96,34
110355,Arla,F,4,77,46
110356,Arlen,F,61,4,53
110357,Arnika,F,81,86,37
110358,Asees,F,64,8,24
110359,Augustine,F,21,10,61
110360,Autum,F,11,56,56
110361,Avital,F,65,42,84
110362,Azalee,F,37,7,28
110363,Azarah,F,98,65,63
110364,Azelie,F,41,43,92
110365,Berlyn,F,67,99,70
110366,Bowen,F,62,14,29
110367,Breah,F,43,8,9
110368,Brogan,F,16,21,81
110369,Cai,F,63,0,59
110370,Camya,F,55,99,76
110371,Catalea,F,23,8,13
110372,Catelyn,F,99,81,8
110373,Chioma,F,9,36,9
110374,Chrislyn,F,95,46,57
110375,Ciera,F,55,39,49
110376,Clark,F,28,83,54
110377,Daija,F,56,50,21
110378,Dailynn,F,21,1,42
110379,Danah,F,37,89,46
110380,Darielle,F,59,87,45
110381,Darlin,F,42,86,97
110382,Davie,F,66,48,76
110383,Debbie,F,10,4,45
110384,Decklyn,F,47,86,0
110385,Delayla,F,87,75,55
110386,Devany,F,61,44,45
110387,Devi,F,35,77,60
110388,Doreen,F,42,39,85
110389,Eilee,F,46,79,1
110390,Elanie,F,71,60,55
110391,Elektra,F,60,62,52
110392,Elianis,F,88,54,54
110393,Elisabet,F,95,69,42
110394,Ellyson,F,24,2,31
110395,Emerly,F,62,6,23
110396,Emmah,F,39,96,61
110397,Emmalie,F,85,72,42
110398,Enaya,F,33,63,49
110399,Erina,F,26,71,32
110400,Esmay,F,90,57,35
110401,Esraa,F,67,51,13
110402,Fia,F,50,24,74
110403,Frady,F,23,57,33
110404,Francheska,F,53,34,24
110405,Gabryella,F,44,24,65
110406,Gennesis,F,1,69,25
110407,Ghazal,F,90,78,11
110408,Hailynn,F,46,23,10
110409,Haset,F,18,8,57
110410,Ilene,F,33,46,49
110411,Illyana,F,52,80,49
110412,Inga,F,35,4,32
110413,Iniya,F,38,13,70
110414,Ishana,F,0,40,47
110415,Izzabelle,F,38,37,35
110416,Jadalyn,F,13,54,52
110417,Jagger,F,25,19,95
110418,Jakiya,F,15,92,32
110419,Jaleigha,F,72,57,95
110420,Jalena,F,22,2,85
110421,Jamyra,F,34,45,12
110422,Jaselle,F,15,45,72
110423,Jayani,F,55,41,19
110424,Jaziya,F,68,21,34
110425,Jeylin,F,6,46,78
110426,Jrue,F,33,36,32
110427,Julisa,F,0,19,84
110428,Kadiatou,F,84,13,75
110429,Kadyn,F,10,39,85
110430,Kadynce,F,19,10,47
110431,Kaedyn,F,5,31,79
110432,Kailea,F,18,30,40
110433,Kaiulani,F,39,32,73
110434,Kamyra,F,0,41,58
110435,Kapri,F,96,76,52
110436,Karyme,F,26,69,46
110437,Kayah,F,12,80,53
110438,Kaylana,F,52,72,53
110439,Kaylanni,F,63,27,70
110440,Kelce,F,26,16,0
110441,Kelia,F,4,90,46
110442,Kemiyah,F,30,81,64
110443,Kendell,F,10,38,67
110444,Keniyah,F,16,49,34
110445,Kenzli,F,58,10,63
110446,Keysha,F,77,41,70
110447,Kiani,F,25,58,63
110448,Killian,F,2,41,47
110449,Kiyana,F,22,21,90
110450,Kiyanne,F,34,74,68
110451,Knox,F,46,21,53
110452,Kyana,F,82,62,45
110453,Laasya,F,32,30,87
110454,Laekyn,F,98,67,9
110455,Lahna,F,90,78,98
110456,Lanah,F,25,13,49
110457,Landrey,F,1,19,13
110458,Layloni,F,74,72,96
110459,Leasia,F,72,15,80
110460,Leightyn,F,60,99,83
110461,Liel,F,8,90,88
110462,Liliann,F,54,82,0
110463,Lizabeth,F,1,95,84
110464,Lorenza,F,72,39,6
110465,Mackayla,F,68,71,97
110466,Maddi,F,42,16,79
